"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X2020",16,0,9.2e-05,0.000927,0.000152,0.000455,0.000339,0.000239,0.005426,6.2e-05,0.000206,0.000472,0,0.00025
"X2027",16,0,9e-05,0.000569,0.000249,0.000389,0.00033,0.00032,0.005276,3.1e-05,0.000264,0.000395,0,0.000123
"X2028",16,0,0.000538,0.001303,0.000683,0.000894,0.00083,0.000781,0.013279,5.6e-05,0.000711,0.000949,0,0.000224
"X2029",16,0,0.000161,0.001001,0.000295,0.000551,0.000489,0.000492,0.007831,6e-05,0.000361,0.000618,0,0.000242
"X2035",16,0,0.000453,0.000697,0.000529,0.000633,0.000577,0.000582,0.009229,1.9e-05,0.000537,0.000616,0,7.4e-05
"X2078",16,0,2.4e-05,0.000729,0.000309,0.000468,0.000388,0.000373,0.0062,4.2e-05,0.000297,0.000478,0,0.00017
"X2079",16,0,0.000336,0.001051,0.000462,0.000617,0.000586,0.000518,0.009379,5.4e-05,0.000471,0.000701,0,0.000215
"X2086",16,0,0.000268,0.000636,0.000302,0.000386,0.000374,0.000367,0.005985,2.6e-05,0.000319,0.000429,0,0.000103
"X2094",16,0,0.000298,0.000826,0.00043,0.000557,0.000511,0.000508,0.008183,3.5e-05,0.000436,0.000587,0,0.000142
"X2095",16,0,0.000234,0.000992,0.000426,0.000611,0.000545,0.000531,0.008716,5.4e-05,0.00043,0.000659,0,0.000214
"X2104",16,0,0.000324,0.000506,0.00037,0.000473,0.000416,0.00041,0.006659,1.5e-05,0.000384,0.000448,0,6e-05
"X2111",16,0,9.1e-05,0.00112,0.000243,0.00046,0.000392,0.000399,0.006272,5.9e-05,0.000266,0.000518,0,0.000237
"X2116",16,0,0.000199,0.000559,0.000277,0.000482,0.000382,0.00039,0.006108,3.1e-05,0.000315,0.000449,0,0.000125
"X2128",16,0,0.000369,0.000663,0.000459,0.000563,0.000515,0.000497,0.008236,2e-05,0.000471,0.000558,0,8.2e-05
"X2133",16,0,0.000198,0.001647,0.000359,5e-04,0.000506,0.000405,0.00809,8.4e-05,0.000327,0.000684,0,0.000335
