"","AUC"
"X11567",0.59765625
"X11574",0.51171875
"X11581",0.58984375
"X11584",0.52734375
"X11587",0.51171875
"X11591",0.53515625
"X11592",0.5234375
"X11594",0.859375
"X11600",0.5703125
"X11616",0.55859375
"X11644",0.89453125
"X11647",0.765625
"X11648",0.55078125
"X11660",0.6171875
"X11661",0.55859375
"X11666",0.609375
"X11668",0.68359375
"X11679",0.625
"X11703",0.5859375
"X11709",0.53515625
"X11712",0.59375
"X11726",0.57421875
"X11758",0.5078125
"X11783",0.7265625
"X11796",0.9453125
"X11812",0.73046875
"X11814",0.60546875
"X11817",0.59375
"X11821",0.73046875
"X11827",0.5390625
"X11873",0.5625
"X11880",0.73046875
"X11895",0.6953125
"X11896",0.68359375
"X11897",0.625
"X11899",0.9375
"X11900",0.7265625
"X11904",0.515625
"X11906",0.76953125
"X11911",0.56640625
"X11927",0.60546875
"X11954",0.74609375
"X11962",0.53515625
"X11970",0.76171875
"X11981",0.62890625
"X11983",0.53125
"X11998",0.98828125
"X12002",0.7734375
"X12007",0.546875
"X12009",0.6640625
"X12012",0.62109375
"X12030",0.5390625
"X12031",0.68359375
"X12072",0.5234375
"X12075",0.73828125
"X12082",0.546875
"X12095",0.54296875
"X12098",0.50390625
"X12099",0.66015625
"X12172",0.54296875
"X12174",0.578125
"X12178",0.58203125
"X12180",0.6015625
"X12224",0.82421875
"X12246",0.81640625
"X12249",0.578125
"X12252",0.63671875
"X12257",0.64453125
"X12263",0.53515625
"X12265",0.55078125
"X12266",0.51171875
"X12270",1
"X12274",0.53125
"X12291",0.6171875
"X12318",0.515625
"X12327",0.64453125
"X12336",0.62890625
"X12350",0.61328125
"X12351",0.53515625
"X12362",0.6328125
"X12381",0.51171875
"X12388",0.51953125
"X12415",0.62890625
"X12434",0.6484375
"X12441",0.59765625
"X12447",0.9765625
"X12449",0.578125
"X12459",0.5625
"X12460",0.609375
"X12492",0.5234375
"X12500",0.515625
"X12528",0.625
"X12537",0.890625
"X12543",0.55078125
"X12597",0.6328125
"X12600",0.546875
"X12605",0.67578125
"X12607",0.875
"X12616",0.68359375
"X12618",0.5859375
"X12619",0.86328125
"X12621",0.6015625
"X12622",0.89453125
"X12623",0.87109375
"X12624",0.9375
"X12626",0.98046875
